Wavelength (nm)	EtioP I (in DMF).abs
631.00	0.0048836
632.00	0.0025560
633.00	0.0041206
634.00	0.0045262
635.00	0.0033479
636.00	0.0023048
637.00	0.0031548
638.00	0.0044876
639.00	0.0048932
640.00	0.0035218
641.00	0.0018389
642.00	0.0019466
643.00	0.0041785
644.00	0.0059170
645.00	0.0043620
646.00	0.0019281
647.00	0.0018776
648.00	0.0017625
649.00	0.0029569
650.00	0.0021889
651.00	0.0031065
652.00	0.0033093
653.00	0.0038791
654.00	0.0017238
655.00	0.0021855
656.00	0.0011982
657.00	0.0018066
658.00	0.0013139
659.00	0.0018481
660.00	0.0019281
661.00	0.0020281
662.00	0.0022616
663.00	0.0012536
664.00	0.0020212
665.00	0.0020944
666.00	0.0026667
667.00	0.0022825
668.00	0.0018435
669.00	0.0024304
670.00	0.0031065
671.00	0.0033190
672.00	0.0038791
673.00	0.0038695
674.00	0.0041592
675.00	0.0040047
676.00	0.0042075
677.00	0.0036280
678.00	0.0029713
679.00	0.0037343
680.00	0.0040433
681.00	0.0037825
682.00	0.0035894
683.00	0.0031741
684.00	0.0038308
685.00	0.0027138
686.00	0.0023649
687.00	0.0027890
688.00	0.0035611
689.00	0.0027784
690.00	0.0018655
691.00	0.0015505
692.00	0.0014908
693.00	0.0026247
694.00	0.0021825
695.00	0.0026504
696.00	0.0029616
697.00	0.0016501
698.00	0.0018821
699.00	0.0021728
700.00	0.0025918
