Wavelength (nm)	Fe(III) UroP I (in DMSO).abs
445.00	0.054882
446.00	0.054063
447.00	0.053469
448.00	0.053039
449.00	0.052597
450.00	0.052053
451.00	0.051484
452.00	0.051108
453.00	0.050725
454.00	0.050070
455.00	0.049182
456.00	0.048883
457.00	0.048391
458.00	0.047451
459.00	0.046852
460.00	0.046302
461.00	0.045933
462.00	0.045051
463.00	0.044394
464.00	0.043624
465.00	0.043174
466.00	0.042909
467.00	0.042624
468.00	0.042390
469.00	0.041848
470.00	0.041762
471.00	0.041752
472.00	0.041714
473.00	0.041637
474.00	0.041858
475.00	0.042013
476.00	0.042140
477.00	0.042405
478.00	0.042840
479.00	0.042993
480.00	0.043368
481.00	0.043779
482.00	0.044121
483.00	0.044653
484.00	0.045055
485.00	0.045330
486.00	0.045522
487.00	0.046736
488.00	0.048437
489.00	0.047505
490.00	0.047397
491.00	0.047630
492.00	0.048216
493.00	0.047853
494.00	0.048041
495.00	0.048395
496.00	0.048333
497.00	0.048329
498.00	0.048262
499.00	0.048033
500.00	0.048003
501.00	0.047989
502.00	0.047613
503.00	0.047238
504.00	0.047184
505.00	0.046646
506.00	0.046344
507.00	0.045902
508.00	0.045380
509.00	0.044896
510.00	0.044336
511.00	0.043802
512.00	0.042916
513.00	0.042355
514.00	0.041810
515.00	0.040849
516.00	0.040486
517.00	0.039744
518.00	0.039039
519.00	0.038443
520.00	0.037817
521.00	0.037179
522.00	0.036704
523.00	0.035984
524.00	0.035213
525.00	0.034910
526.00	0.034393
527.00	0.033945
528.00	0.033096
529.00	0.032658
530.00	0.032050
531.00	0.031345
532.00	0.030682
533.00	0.029891
534.00	0.029116
535.00	0.028388
536.00	0.027416
537.00	0.026540
538.00	0.025929
539.00	0.025285
540.00	0.024407
541.00	0.023800
542.00	0.023313
543.00	0.022866
544.00	0.022310
545.00	0.021730
546.00	0.021430
547.00	0.021108
548.00	0.020765
549.00	0.020556
550.00	0.020324
551.00	0.020255
552.00	0.020214
553.00	0.020112
554.00	0.020020
555.00	0.020149
556.00	0.020097
557.00	0.020212
558.00	0.020277
559.00	0.020400
560.00	0.020281
561.00	0.020604
562.00	0.020775
563.00	0.020804
564.00	0.020840
565.00	0.020831
566.00	0.021075
567.00	0.021206
568.00	0.021248
569.00	0.021242
570.00	0.021348
571.00	0.021638
572.00	0.021774
573.00	0.021703
574.00	0.021592
575.00	0.021690
576.00	0.021755
577.00	0.021530
578.00	0.021582
579.00	0.021669
580.00	0.021336
581.00	0.021027
582.00	0.020902
583.00	0.021265
584.00	0.020632
585.00	0.019920
586.00	0.020082
587.00	0.019976
588.00	0.019576
589.00	0.019766
590.00	0.019389
591.00	0.019261
592.00	0.019295
593.00	0.019108
594.00	0.019460
595.00	0.019667
596.00	0.019783
597.00	0.019897
598.00	0.019814
599.00	0.020121
600.00	0.020307
601.00	0.020659
602.00	0.020856
603.00	0.021048
604.00	0.021467
605.00	0.021734
606.00	0.021943
607.00	0.022218
608.00	0.022524
609.00	0.022820
610.00	0.022981
611.00	0.023171
612.00	0.023411
613.00	0.023419
614.00	0.023461
615.00	0.023684
616.00	0.023604
617.00	0.023306
618.00	0.023058
619.00	0.022952
620.00	0.022447
621.00	0.022082
622.00	0.021569
623.00	0.021311
624.00	0.021010
625.00	0.020148
626.00	0.019331
627.00	0.018489
628.00	0.017453
629.00	0.016489
630.00	0.015543
631.00	0.014710
632.00	0.013641
633.00	0.012694
634.00	0.012211
635.00	0.011504
636.00	0.010588
637.00	0.0098057
638.00	0.0093872
639.00	0.0087328
640.00	0.0082117
641.00	0.0077326
642.00	0.0068267
643.00	0.0064687
644.00	0.0064641
645.00	0.0065911
646.00	0.0065017
647.00	0.0062481
648.00	0.0055977
649.00	0.0050420
650.00	0.0045288
651.00	0.0040507
652.00	0.0037085
653.00	0.0035127
654.00	0.0032563
655.00	0.0023832
656.00	0.0020852
657.00	0.0020852
658.00	0.0022937
659.00	0.0020452
660.00	0.0019268
661.00	0.0017300
662.00	0.0015560
663.00	0.0013879
664.00	0.0011851
665.00	0.0012060
666.00	0.0011244
667.00	0.00082415
668.00	0.00080426
669.00	0.00061534
670.00	0.00075455
671.00	0.00065313
672.00	0.00044434
673.00	0.00052487
674.00	0.00044930
675.00	0.00019973
676.00	0.00011621
677.00	0.00029418
678.00	0.00012317
679.00	0.00013610
680.00	0.00020570
681.00	0.00021167
682.00	9.9308e-05
683.00	1.8769e-05
684.00	1.4043e-05
685.00	8.0416e-05
686.00	0.00011024
687.00	0.00015897
688.00	2.0758e-05
689.00	2.2745e-05
690.00	3.4923e-05
691.00	0.00018705
692.00	7.3455e-05
693.00	3.3928e-05
694.00	3.3684e-05
695.00	0.00011171
696.00	0.00013435
697.00	0.00012938
698.00	0.00014231
699.00	2.4981e-05
700.00	0.00018658
