Wavelength (nm)	Toly Q (2021)
704.00	0.0034424
705.00	0.0037150
706.00	0.0016818
707.00	0.0015253
708.00	0.0024756
709.00	0.0016806
710.00	0.00077166
711.00	0.00037448
712.00	0.0019999
713.00	0.0022379
714.00	0.0022968
715.00	0.0023488
716.00	0.0025391
717.00	0.0013397
718.00	0.0029099
719.00	0.0027767
720.00	0.0024745
721.00	0.0020552
722.00	0.0015229
723.00	0.0017935
724.00	0.0012528
725.00	0.00075646
726.00	0.0012529
727.00	0.0012725
728.00	0.0011896
729.00	0.0020185
730.00	0.0015437
731.00	0.0014497
732.00	0.0014193
733.00	0.0016778
734.00	0.0016433
735.00	0.0015542
736.00	0.0021767
737.00	0.0021903
738.00	0.0018138
739.00	0.0017887
740.00	0.0014659
741.00	0.0012706
742.00	0.00098346
743.00	0.0010583
744.00	0.00029987
745.00	0.00029224
746.00	0.00026797
747.00	0.00092841
748.00	0.0016355
749.00	0.0020763
750.00	0.0024414
751.00	0.0013948
752.00	0.00054552
753.00	0.0021420
754.00	0.0020986
755.00	0.0024083
756.00	0.0016522
757.00	0.0013660
758.00	0.0010117
759.00	0.00059380
760.00	0.00027754
761.00	0.0012373
762.00	0.00010248
763.00	0.0010404
764.00	0.0012079
765.00	0.0012286
766.00	0.0012995
767.00	0.0017325
768.00	0.0019282
769.00	0.00018882
770.00	0.0030747
771.00	0.00050142
772.00	0.00027819
773.00	0.00064046
774.00	0.00086295
775.00	0.0010790
776.00	0.0022140
777.00	0.0025995
778.00	0.0020980
779.00	0.0025196
780.00	0.0023169
781.00	0.0026844
782.00	0.0021565
783.00	0.0033229
784.00	0.0021101
785.00	0.0023973
786.00	0.0029277
787.00	0.0021390
788.00	0.0017218
789.00	0.0020479
790.00	0.00060029
791.00	0.0019575
792.00	0.0012119
793.00	0.00093610
794.00	0.0014200
795.00	0.0017023
796.00	0.00066980
797.00	0.00066017
798.00	0.00049264
799.00	0.0011045
800.00	0.00024894
