Wavelength (nm)	P03  abs e
530.50	2074.1
530.75	2004.9
531.00	1894.3
531.25	1779.4
531.50	1770.6
531.75	1681.8
532.00	1582.9
532.25	1546.1
532.50	1493.5
532.75	1416.5
533.00	1362.6
533.25	1300.9
533.50	1221.4
533.75	1152.3
534.00	1135.5
534.25	1092.7
534.50	1116.4
534.75	1056.7
535.00	964.01
535.25	990.54
535.50	929.94
535.75	887.45
536.00	790.73
536.25	843.08
536.50	813.78
536.75	731.53
537.00	753.08
537.25	724.95
537.50	688.19
537.75	645.01
538.00	653.78
538.25	580.29
538.50	564.22
538.75	555.22
539.00	588.81
539.25	537.08
539.50	539.23
539.75	448.38
540.00	423.82
540.25	402.89
540.50	458.71
540.75	384.44
541.00	434.50
541.25	328.99
541.50	343.89
541.75	324.21
542.00	284.14
542.25	325.27
542.50	304.19
542.75	359.37
543.00	319.78
543.25	256.65
543.50	233.02
543.75	282.03
544.00	211.30
544.25	182.99
544.50	297.34
544.75	225.55
545.00	203.52
545.25	261.33
545.50	238.85
545.75	185.65
546.00	161.99
546.25	194.45
546.50	189.37
546.75	169.66
547.00	179.14
547.25	170.24
547.50	203.11
547.75	143.16
548.00	176.65
548.25	122.09
548.50	153.26
548.75	85.767
549.00	99.852
549.25	125.74
549.50	121.68
549.75	86.245
550.00	139.44
550.25	163.35
550.50	91.156
550.75	130.68
551.00	148.07
551.25	94.736
551.50	58.281
551.75	58.963
552.00	75.980
552.25	63.362
552.50	101.25
552.75	72.502
553.00	44.163
553.25	103.88
553.50	99.715
553.75	45.527
554.00	133.72
554.25	90.235
554.50	29.294
554.75	70.558
555.00	85.017
555.25	97.260
555.50	108.92
555.75	103.13
556.00	60.805
556.25	32.943
556.50	12.584
556.75	37.547
557.00	116.15
557.25	77.446
557.50	57.121
557.75	78.879
558.00	55.519
558.25	50.608
558.50	33.966
558.75	32.295
559.00	66.227
559.25	127.61
559.50	37.547
559.75	55.689
560.00	13.505
560.25	44.981
560.50	70.626
560.75	139.41
561.00	24.110
561.25	17.017
561.50	113.36
561.75	56.474
562.00	71.547
562.25	37.478
562.50	61.009
562.75	33.625
563.00	74.786
563.25	76.082
563.50	70.251
563.75	40.548
564.00	54.632
564.25	88.666
564.50	64.249
564.75	49.789
565.00	68.819
565.25	49.176
565.50	17.972
565.75	49.789
566.00	21.484
566.25	80.379
566.50	46.447
566.75	24.383
567.00	52.381
567.25	-25.031
567.50	51.119
567.75	-17.904
568.00	15.448
568.25	15.210
568.50	58.451
568.75	19.643
569.00	47.675
569.25	-2.3872
569.50	1.9438
569.75	77.753
570.00	59.645
570.25	60.873
570.50	76.901
570.75	43.856
571.00	-4.9789
571.25	-21.519
571.50	24.827
571.75	15.039
572.00	89.144
572.25	-41.605
572.50	85.290
572.75	75.946
573.00	0.51154
573.25	-7.8094
573.50	82.698
573.75	34.716
574.00	62.680
574.25	8.4233
574.50	48.187
574.75	-6.3430
575.00	72.843
575.25	79.186
575.50	-9.2417
575.75	33.693
576.00	-18.347
576.25	23.872
576.50	47.061
576.75	60.498
577.00	5.6269
577.25	78.845
577.50	-9.3099
577.75	79.561
578.00	78.231
578.25	12.891
578.50	28.885
578.75	28.885
579.00	104.76
579.25	50.471
579.50	-16.267
579.75	28.032
580.00	115.91
580.25	109.54
580.50	28.714
580.75	86.006
581.00	23.565
581.25	103.43
581.50	7.8776
